CREATE TABLE livros_alugados (
	usuario_id int NOT NULL,
	livro_id int NOT NULL,
insert into livros_alugados (usuario_id, livro_id) values (19, 17);
insert into livros_alugados (usuario_id, livro_id) values (31, 60);
insert into livros_alugados (usuario_id, livro_id) values (42, 37);
insert into livros_alugados (usuario_id, livro_id) values (40, 7);
insert into livros_alugados (usuario_id, livro_id) values (24, 95);
insert into livros_alugados (usuario_id, livro_id) values (57, 74);
insert into livros_alugados (usuario_id, livro_id) values (34, 26);
insert into livros_alugados (usuario_id, livro_id) values (30, 77);
insert into livros_alugados (usuario_id, livro_id) values (3, 73);
insert into livros_alugados (usuario_id, livro_id) values (38, 2);
insert into livros_alugados (usuario_id, livro_id) values (16, 61);
insert into livros_alugados (usuario_id, livro_id) values (1, 61);
insert into livros_alugados (usuario_id, livro_id) values (7, 61);
insert into livros_alugados (usuario_id, livro_id) values (89, 52);
insert into livros_alugados (usuario_id, livro_id) values (12, 14);
insert into livros_alugados (usuario_id, livro_id) values (75, 91);
insert into livros_alugados (usuario_id, livro_id) values (22, 83);
insert into livros_alugados (usuario_id, livro_id) values (44, 21);
insert into livros_alugados (usuario_id, livro_id) values (39, 21);
insert into livros_alugados (usuario_id, livro_id) values (92, 88);
insert into livros_alugados (usuario_id, livro_id) values (3, 42);
insert into livros_alugados (usuario_id, livro_id) values (25, 33);
insert into livros_alugados (usuario_id, livro_id) values (2, 59);
insert into livros_alugados (usuario_id, livro_id) values (85, 41);
insert into livros_alugados (usuario_id, livro_id) values (91, 87);
insert into livros_alugados (usuario_id, livro_id) values (10, 65);
insert into livros_alugados (usuario_id, livro_id) values (31, 60);
insert into livros_alugados (usuario_id, livro_id) values (98, 16);
insert into livros_alugados (usuario_id, livro_id) values (38, 89);
insert into livros_alugados (usuario_id, livro_id) values (66, 3);
insert into livros_alugados (usuario_id, livro_id) values (35, 53);
insert into livros_alugados (usuario_id, livro_id) values (60, 43);
insert into livros_alugados (usuario_id, livro_id) values (87, 56);
insert into livros_alugados (usuario_id, livro_id) values (21, 84);
insert into livros_alugados (usuario_id, livro_id) values (8, 64);
insert into livros_alugados (usuario_id, livro_id) values (79, 10);
insert into livros_alugados (usuario_id, livro_id) values (24, 89);
insert into livros_alugados (usuario_id, livro_id) values (77, 72);
insert into livros_alugados (usuario_id, livro_id) values (25, 8);
insert into livros_alugados (usuario_id, livro_id) values (67, 2);
insert into livros_alugados (usuario_id, livro_id) values (47, 9);
insert into livros_alugados (usuario_id, livro_id) values (21, 63);
insert into livros_alugados (usuario_id, livro_id) values (48, 5);
